,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
31,3,0,1290000.0,1,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,1964.6842169408897,31,-37.805,144.9943,2,4019.0
32,3,0,1290000.0,1,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,31,-37.8007,144.9958,2,4019.0
33,1,2,470000.0,1,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,31,-37.8055,144.9961,2,4019.0
34,2,0,1180000.0,1,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,31,-37.8016,144.9956,2,4019.0
35,3,0,1195000.0,3,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,31,-37.8022,144.9954,2,4019.0
36,2,0,1012500.0,1,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,31,-37.8021,144.9976,2,4019.0
37,2,0,1030000.0,1,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,31,-37.8086,144.9946,2,4019.0
38,3,1,840000.0,0,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,21,-37.718,144.878,6,3464.0
39,3,0,730000.0,4,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
40,3,0,770000.0,3,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,21,-37.7203,144.8755,6,3464.0
41,2,0,603000.0,1,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,21,-37.7294,144.888,6,3464.0
42,3,1,700000.0,1,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,21,-37.7218,144.8837,6,3464.0
43,3,0,600000.0,1,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,21,-37.7273,144.8744,6,3464.0
44,2,2,500000.0,4,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,21,-37.7215,144.8864,6,3464.0
45,3,0,720000.0,1,13.5,3042.0,2.0,1.0,1.0,620.0,151.96764988779805,1964.6842169408897,21,-37.7173,144.8872,6,3464.0
46,4,0,785000.0,1,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,1964.6842169408897,21,-37.7259,144.8792,6,3464.0
47,6,0,725000.0,3,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,21,-37.7239,144.8735,6,3464.0
48,2,1,450000.0,1,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,21,-37.7216,144.871,6,3464.0
49,2,2,515000.0,1,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,21,-37.7298,144.8883,6,3464.0
50,2,2,530000.0,1,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,21,-37.7234,144.8792,6,3464.0
51,3,0,895000.0,0,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,21,-37.7249,144.8728,6,3464.0
52,3,0,805000.0,1,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,21,-37.7217,144.8783,6,3464.0
53,3,2,752000.0,1,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,21,-37.7302,144.8855,6,3464.0
54,2,2,440000.0,1,13.5,3042.0,2.0,1.0,1.0,192.0,151.96764988779805,1964.6842169408897,21,-37.7177,144.8787,6,3464.0
55,5,0,755000.0,0,13.5,3042.0,3.0,2.0,2.0,596.0,151.96764988779805,1964.6842169408897,21,-37.7248,144.8699,6,3464.0
56,3,1,700000.0,0,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,21,-37.727,144.887,6,3464.0
57,3,0,830000.0,1,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,21,-37.7186,144.876,6,3464.0
58,2,2,462500.0,1,13.5,3042.0,2.0,1.0,1.0,164.0,151.96764988779805,2003.0,21,-37.7218,144.8863,6,3464.0
59,3,0,670000.0,3,13.5,3042.0,3.0,2.0,2.0,657.0,151.96764988779805,1964.6842169408897,21,-37.7269,144.8742,6,3464.0
60,2,0,675000.0,1,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,21,-37.7187,144.8765,6,3464.0
61,3,0,1042000.0,1,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,21,-37.7173,144.8796,6,3464.0
62,3,0,910000.0,1,13.5,3042.0,3.0,1.0,1.0,775.0,151.96764988779805,1964.6842169408897,21,-37.7231,144.8835,6,3464.0
63,4,0,773000.0,1,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,21,-37.7263,144.8679,6,3464.0
64,3,0,810000.0,0,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,21,-37.7285,144.8694,6,3464.0
65,3,0,715000.0,1,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,21,-37.7164,144.8792,6,3464.0
66,3,0,790000.0,1,13.5,3042.0,3.0,1.0,3.0,614.0,151.96764988779805,1964.6842169408897,21,-37.7194,144.8827,6,3464.0
67,3,1,540000.0,3,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,21,-37.7231,144.8802,6,3464.0
68,3,1,825000.0,3,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,21,-37.72,144.8776,6,3464.0
69,3,0,685000.0,1,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,21,-37.7226,144.8733,6,3464.0
70,3,0,805000.0,1,13.5,3042.0,3.0,1.0,1.0,623.0,151.96764988779805,1964.6842169408897,21,-37.7184,144.882,6,3464.0
71,2,2,510000.0,1,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,1964.6842169408897,21,-37.7202,144.8797,6,3464.0
72,3,0,612000.0,1,13.5,3042.0,3.0,2.0,1.0,212.0,151.96764988779805,1964.6842169408897,21,-37.7181,144.8824,6,3464.0
73,3,0,662000.0,1,13.5,3042.0,3.0,1.0,2.0,612.0,151.96764988779805,1964.6842169408897,21,-37.7169,144.8815,6,3464.0
74,4,0,978000.0,1,13.5,3042.0,4.0,3.0,2.0,532.0,151.96764988779805,1964.6842169408897,21,-37.7263,144.869,6,3464.0
75,3,0,720000.0,0,13.5,3042.0,3.0,1.0,1.0,585.0,151.96764988779805,1964.6842169408897,21,-37.72,144.878,6,3464.0
76,4,0,765000.0,1,13.5,3042.0,4.0,1.0,2.0,509.0,151.96764988779805,1964.6842169408897,21,-37.7261,144.8785,6,3464.0
77,4,0,900000.0,1,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,21,-37.7256,144.8739,6,3464.0
78,2,0,1275000.0,1,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,25,-37.8459,144.9555,5,3280.0
79,2,0,1455000.0,1,3.3,3206.0,2.0,1.0,0.0,159.0,151.96764988779805,1964.6842169408897,25,-37.845,144.9538,5,3280.0
80,3,0,2850000.0,0,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,25,-37.8481,144.9499,5,3280.0
81,3,0,1850000.0,1,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,25,-37.8452,144.9488,5,3280.0
82,2,0,1436000.0,1,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,25,-37.8431,144.9565,5,3280.0
83,2,0,1110000.0,1,3.3,3206.0,1.0,1.0,0.0,147.0,151.96764988779805,1900.0,25,-37.8444,144.9484,5,3280.0
84,2,0,1550000.0,1,3.3,3206.0,2.0,1.0,1.0,167.0,151.96764988779805,1964.6842169408897,25,-37.8405,144.9521,5,3280.0
85,4,0,2300000.0,1,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,25,-37.8447,144.9523,5,3280.0
86,3,1,1550000.0,4,3.3,3206.0,3.0,2.0,2.0,718.0,151.96764988779805,1964.6842169408897,25,-37.8443,144.9598,5,3280.0
87,3,0,1800000.0,4,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,25,-37.8415,144.952,5,3280.0
88,2,0,2120000.0,1,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,25,-37.8422,144.9554,5,3280.0
89,3,0,1800000.0,4,3.3,3206.0,3.0,1.0,1.0,253.0,151.96764988779805,1964.6842169408897,25,-37.8443,144.9579,5,3280.0
90,3,0,1800000.0,1,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,25,-37.8421,144.9571,5,3280.0
91,2,0,1810000.0,0,3.3,3206.0,2.0,1.0,0.0,240.0,151.96764988779805,1964.6842169408897,25,-37.8379,144.9539,5,3280.0
92,3,0,2615000.0,1,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,25,-37.8415,144.9585,5,3280.0
93,5,0,2100000.0,1,3.3,3206.0,5.0,2.0,1.0,237.0,151.96764988779805,1964.6842169408897,25,-37.8436,144.9557,5,3280.0
94,3,0,1300000.0,1,3.3,3206.0,3.0,1.0,0.0,129.0,151.96764988779805,1964.6842169408897,25,-37.8422,144.94899999999996,5,3280.0
95,3,0,1370000.0,1,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,25,-37.8451,144.9511,5,3280.0
96,2,0,1000000.0,1,3.3,3206.0,2.0,1.0,0.0,288.0,151.96764988779805,1964.6842169408897,25,-37.8407,144.9523,5,3280.0
97,3,0,2575000.0,1,3.3,3206.0,3.0,2.0,1.0,228.0,151.96764988779805,1964.6842169408897,25,-37.8445,144.9501,5,3280.0
98,2,0,1322500.0,1,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,25,-37.8443,144.9481,5,3280.0
99,2,0,1562500.0,1,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,25,-37.8424,144.9562,5,3280.0
100,3,0,2000000.0,4,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,25,-37.847,144.9575,5,3280.0
101,3,0,1900000.0,1,3.3,3206.0,3.0,1.0,0.0,209.0,151.96764988779805,1900.0,25,-37.8468,144.9546,5,3280.0
102,3,0,3010000.0,1,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,25,-37.8473,144.9551,5,3280.0
103,4,0,2800000.0,4,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,25,-37.8467,144.9475,5,3280.0
104,2,2,647000.0,1,3.3,3206.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,25,-37.846,144.9542,5,3280.0
105,3,0,2100000.0,3,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,25,-37.8427,144.9546,5,3280.0
106,3,0,2000000.0,0,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,25,-37.8461,144.9528,5,3280.0
107,1,2,442500.0,1,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,25,-37.8421,144.9517,5,3280.0
108,4,0,4735000.0,1,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,25,-37.8477,144.9558,5,3280.0
109,2,0,1340000.0,1,3.3,3206.0,2.0,1.0,0.0,136.0,151.96764988779805,1964.6842169408897,25,-37.846,144.9517,5,3280.0
110,3,0,1801000.0,1,3.3,3206.0,3.0,1.0,1.0,202.0,151.96764988779805,1964.6842169408897,25,-37.8429,144.9493,5,3280.0
111,3,0,1532000.0,1,3.3,3206.0,3.0,3.0,1.0,0.0,151.96764988779805,1964.6842169408897,25,-37.8415,144.9585,5,3280.0
112,3,0,3755000.0,1,3.3,3206.0,3.0,2.0,2.0,325.0,151.96764988779805,1964.6842169408897,25,-37.8413,144.95,5,3280.0
113,4,0,2140000.0,1,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,25,-37.8434,144.9495,5,3280.0
114,2,0,1750000.0,1,3.3,3206.0,2.0,1.0,1.0,162.0,151.96764988779805,1964.6842169408897,25,-37.8416,144.9488,5,3280.0
115,2,0,980000.0,1,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,25,-37.8387,144.9519,5,3280.0
116,3,0,2030000.0,1,3.3,3206.0,3.0,2.0,0.0,152.0,151.96764988779805,1964.6842169408897,25,-37.8488,144.9551,5,3280.0
117,3,0,1740000.0,0,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,25,-37.8448,144.9453,5,3280.0
118,3,0,2800000.0,4,3.3,3206.0,3.0,3.0,1.0,0.0,151.96764988779805,1964.6842169408897,25,-37.8399,144.9577,5,3280.0
119,1,0,985000.0,1,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,25,-37.8411,144.9497,5,3280.0
120,4,0,2000000.0,1,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,6,-37.7707,145.0318,2,2211.0
121,3,0,1110000.0,1,6.4,3078.0,3.0,2.0,2.0,208.0,151.96764988779805,2013.0,31,-37.7854,145.0325,2,2211.0
122,3,0,1492000.0,1,6.4,3078.0,3.0,2.0,2.0,411.0,151.96764988779805,1964.6842169408897,6,-37.7713,145.0279,2,2211.0
123,4,0,1717500.0,1,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,6,-37.7717,145.031,2,2211.0
124,5,0,2840000.0,1,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,6,-37.775,145.0268,2,2211.0
125,2,2,525500.0,1,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,6,-37.7791,145.0306,2,2211.0
126,2,1,805000.0,1,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,6,-37.7804,145.0308,2,2211.0
127,2,2,465000.0,1,6.4,3078.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,6,-37.7773,145.0314,2,2211.0
128,3,0,2000000.0,0,6.4,3078.0,3.0,3.0,2.0,686.0,151.96764988779805,1964.6842169408897,6,-37.78,145.0341,2,2211.0
129,3,0,1540000.0,1,6.4,3078.0,3.0,1.0,2.0,592.0,151.96764988779805,1964.6842169408897,6,-37.7755,145.0288,2,2211.0
130,2,2,820000.0,1,6.4,3078.0,2.0,1.0,1.0,183.0,151.96764988779805,1964.6842169408897,6,-37.7747,145.0264,2,2211.0
131,4,0,1830000.0,1,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,6,-37.7743,145.0316,2,2211.0
132,4,0,2100000.0,1,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,6,-37.7723,145.0319,2,2211.0
133,3,0,865000.0,3,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,6,-37.7802,145.0243,2,2211.0
134,2,2,390000.0,4,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,6,-37.7773,145.0314,2,2211.0
135,2,1,650000.0,3,6.4,3078.0,0.0,1.0,0.0,0.0,151.96764988779805,1964.6842169408897,31,-37.7848,145.025,2,2211.0
136,2,2,512000.0,1,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,6,-37.7805,145.0262,2,2211.0
137,3,0,1165000.0,1,6.4,3078.0,3.0,1.0,2.0,979.0,151.96764988779805,1964.6842169408897,31,-37.7792,145.029,2,2211.0
138,4,0,1900000.0,3,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,31,-37.7844,145.0225,2,2211.0
139,3,0,1485000.0,3,6.4,3078.0,3.0,0.0,0.0,597.0,151.96764988779805,1964.6842169408897,6,-37.7781,145.0284,2,2211.0
140,4,0,1950000.0,1,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,6,-37.7719,145.0309,2,2211.0
141,3,0,520000.0,4,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,10,-37.87,144.825,6,5301.0
142,5,0,1525000.0,1,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,10,-37.8721,144.8105,6,5301.0
143,2,1,720000.0,1,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,10,-37.8687,144.8197,6,5301.0
144,3,0,1120000.0,1,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,10,-37.8693,144.8375,6,5301.0
145,4,0,780000.0,0,13.8,3018.0,4.0,1.0,4.0,655.0,151.96764988779805,1964.6842169408897,10,-37.868,144.8154,6,5301.0
146,4,0,1780000.0,3,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,10,-37.8681,144.819,6,5301.0
147,3,2,630000.0,1,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,10,-37.8702,144.8143,6,5301.0
148,2,2,406000.0,3,13.8,3018.0,2.0,1.0,1.0,65.0,151.96764988779805,1964.6842169408897,10,-37.8693,144.8171,6,5301.0
149,3,0,660000.0,4,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,10,-37.8616,144.8116,6,5301.0
150,3,0,683500.0,1,13.8,3018.0,3.0,1.0,1.0,530.0,151.96764988779805,1964.6842169408897,10,-37.8594,144.817,6,5301.0
151,2,2,580000.0,1,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,10,-37.8696,144.827,6,5301.0
152,3,0,1335000.0,1,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,10,-37.8697,144.8249,6,5301.0
153,3,1,800000.0,3,13.8,3018.0,3.0,2.0,2.0,280.0,151.96764988779805,1997.0,10,-37.8734,144.8143,6,5301.0
154,2,2,510000.0,1,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,10,-37.8686,144.8182,6,5301.0
155,4,0,1070000.0,1,13.8,3018.0,4.0,2.0,2.0,695.0,151.96764988779805,1964.6842169408897,10,-37.8733,144.8147,6,5301.0
156,2,2,425000.0,1,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,10,-37.871,144.8185,6,5301.0
157,3,2,605000.0,1,13.8,3018.0,3.0,2.0,2.0,230.0,151.96764988779805,1964.6842169408897,10,-37.8646,144.827,6,5301.0
158,3,1,705000.0,1,13.8,3018.0,3.0,2.0,2.0,197.0,152.0,1964.6842169408897,10,-37.8579,144.8181,6,5301.0
159,2,2,391000.0,3,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,10,-37.8678,144.8384,6,5301.0
160,2,2,440000.0,3,13.8,3018.0,2.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,10,-37.8659,144.83100000000005,6,5301.0
161,4,0,845000.0,1,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,10,-37.8658,144.8155,6,5301.0
162,3,1,743000.0,3,13.8,3018.0,3.0,2.0,2.0,211.0,176.0,1964.6842169408897,10,-37.8698,144.816,6,5301.0
163,3,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,10,-37.868,144.8286,6,5301.0
164,3,0,635000.0,1,13.8,3018.0,3.0,1.0,4.0,625.0,151.96764988779805,1960.0,10,-37.8611,144.8114,6,5301.0
165,2,2,620000.0,3,13.8,3018.0,2.0,1.0,1.0,168.0,151.96764988779805,1964.6842169408897,10,-37.8676,144.8202,6,5301.0
166,2,2,447000.0,1,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,10,-37.8655,144.8299,6,5301.0
167,3,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,70.0,151.96764988779805,1964.6842169408897,10,-37.868,144.8287,6,5301.0
168,3,0,678000.0,1,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,10,-37.8608,144.8124,6,5301.0
169,2,2,580000.0,0,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,10,-37.8687,144.8268,6,5301.0
170,3,0,712000.0,1,13.8,3018.0,3.0,1.0,2.0,363.0,151.96764988779805,1964.6842169408897,10,-37.8674,144.8375,6,5301.0
171,3,0,840000.0,3,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,10,-37.86,144.8245,6,5301.0
172,3,0,980000.0,1,13.8,3018.0,3.0,1.0,2.0,724.0,151.96764988779805,1964.6842169408897,10,-37.8672,144.817,6,5301.0
173,3,1,605100.0,1,13.8,3018.0,3.0,2.0,0.0,265.0,151.96764988779805,1964.6842169408897,10,-37.8583,144.8172,6,5301.0
174,3,0,880000.0,0,13.8,3018.0,3.0,3.0,1.0,577.0,151.96764988779805,1964.6842169408897,10,-37.8699,144.8235,6,5301.0
175,3,2,577000.0,1,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,10,-37.8684,144.815,6,5301.0
176,4,0,1030000.0,1,13.8,3018.0,4.0,1.0,0.0,797.0,151.96764988779805,1964.6842169408897,10,-37.8663,144.8387,6,5301.0
177,3,2,605000.0,1,13.8,3018.0,3.0,1.0,2.0,181.0,151.96764988779805,1964.6842169408897,10,-37.8659,144.822,6,5301.0
178,3,0,753000.0,1,13.8,3018.0,3.0,2.0,2.0,529.0,151.96764988779805,1964.6842169408897,10,-37.8612,144.8247,6,5301.0
179,2,0,857000.0,3,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,10,-37.8653,144.8129,6,5301.0
180,3,0,1500000.0,1,13.8,3018.0,3.0,1.0,1.0,929.0,151.96764988779805,1964.6842169408897,10,-37.8651,144.832,6,5301.0
181,3,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,10,-37.868,144.8285,6,5301.0
182,3,0,900000.0,1,13.8,3018.0,3.0,1.0,4.0,697.0,151.96764988779805,1964.6842169408897,10,-37.871,144.8075,6,5301.0
183,3,0,740000.0,1,13.8,3018.0,3.0,1.0,2.0,604.0,151.96764988779805,1964.6842169408897,10,-37.8631,144.8195,6,5301.0
184,4,0,931000.0,1,13.8,3018.0,4.0,2.0,3.0,532.0,151.96764988779805,1970.0,10,-37.8637,144.8365,6,5301.0
185,2,0,535600.0,3,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,10,-37.8646,144.8272,6,5301.0
186,5,0,1085000.0,1,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,10,-37.8388,144.8567,6,5132.0
187,3,0,781000.0,1,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,10,-37.8291,144.835,6,5132.0
188,3,0,750000.0,3,11.1,3025.0,3.0,1.0,3.0,554.0,151.96764988779805,1964.6842169408897,10,-37.8449,144.85,6,5132.0
189,2,1,421000.0,1,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,10,-37.8351,144.8529,6,5132.0
190,3,0,1405000.0,1,11.1,3025.0,3.0,1.0,3.0,655.0,151.96764988779805,1964.6842169408897,10,-37.8338,144.8562,6,5132.0
191,3,0,683000.0,1,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,10,-37.8284,144.8355,6,5132.0
192,3,0,623000.0,1,11.1,3025.0,3.0,1.0,3.0,540.0,151.96764988779805,1964.6842169408897,10,-37.8267,144.8368,6,5132.0
193,3,0,720000.0,4,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,10,-37.8379,144.8583,6,5132.0
194,3,0,588000.0,1,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,10,-37.838,144.8555,6,5132.0
195,3,0,710000.0,0,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,10,-37.8294,144.8378,6,5132.0
